filename,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
packages/SystemUI/src/com/android/systemui/usb/StorageNotification.java,23,56,2239,28,41,1925
services/core/java/com/android/server/media/MediaSessionRecordImpl.java,4,8,208,6,10,206
location/lib/java/com/android/location/provider/ActivityRecognitionProviderWatcher.java,4,7,274,2,3,5
core/java/com/android/internal/util/function/TriFunction.java,1,1,29,0,0,0
packages/SystemUI/src/com/android/systemui/statusbar/notification/InflationException.java,1,1,26,1,1,26
telephony/java/android/telephony/mbms/UriPathPair.java,4,14,164,5,11,76
packages/SystemUI/src/com/android/systemui/classifier/brightline/TypeClassifier.java,1,3,68,3,3,68
core/java/android/widget/WrapperListAdapter.java,1,3,96,0,0,0
packages/SystemUI/shared/src/com/android/systemui/shared/recents/utilities/RectFEvaluator.java,1,1,52,1,1,52
location/java/android/location/GnssCapabilities.java,7,14,1314,9,11,1078
core/java/android/text/PackedIntVector.java,3,5,1117,1,1,6
core/java/android/util/Patterns.java,12,27,868,13,16,1696
services/autofill/java/com/android/server/autofill/Session.java,28,347,13568,168,248,10026
apex/jobscheduler/framework/java/com/android/server/usage/AppStandbyInternal.java,8,29,390,23,29,381
rs/java/android/renderscript/ProgramStore.java,7,15,71,5,12,61
media/mca/filterfw/java/android/filterfw/core/GenerateFieldPort.java,1,1,30,0,0,0
telephony/java/android/telephony/euicc/EuiccNotification.java,4,10,238,4,8,220
packages/SystemUI/src/com/android/systemui/qs/external/QSTileServiceWrapper.java,2,6,143,0,0,0
packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/notifcollection/CollectionReadyForBuildListener.java,0,0,0,0,0,0
packages/SystemUI/src/com/android/keyguard/KeyguardSecurityView.java,7,11,135,4,4,24
packages/SettingsLib/AdaptiveIcon/src/com/android/settingslib/widget/AdaptiveOutlineDrawable.java,5,7,234,4,5,226
core/java/android/view/HapticFeedbackConstants.java,16,27,408,12,14,152
services/people/java/com/android/server/people/data/EventStore.java,2,4,374,3,4,374
apex/blobstore/service/java/com/android/server/blob/BlobMetadata.java,3,30,1556,18,24,1324
services/core/java/com/android/server/am/ProviderMap.java,8,10,215,8,8,201
