filename,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
services/core/java/com/android/server/biometrics/sensors/Interruptable.java,1,4,34,5,5,46
services/core/java/com/android/server/display/PersistentDataStore.java,11,20,1200,13,16,1021
test-runner/src/junit/runner/StandardTestSuiteLoader.java,2,3,67,1,1,23
packages/EasterEgg/src/com/android/egg/neko/NekoTile.java,3,7,574,3,4,339
media/mca/filterfw/java/android/filterfw/io/package-info.java,1,1,4,0,0,0
core/tests/hosttests/test-apps/MultiDexLegacyTestApp/src/com/android/multidexlegacytestapp/manymethods/Big069.java,1,1,4020,0,0,0
services/core/java/com/android/server/VpnManagerService.java,5,11,1102,9,15,1198
services/tests/servicestests/src/com/android/server/job/BackgroundRestrictionsTest.java,4,12,363,7,7,278
core/java/android/view/AccessibilityEmbeddedConnection.java,1,2,90,2,2,90
apct-tests/perftests/multiuser/src/android/multiuser/BenchmarkResultsReporter.java,3,4,149,2,2,138
services/core/java/com/android/server/pm/PreferredIntentResolver.java,5,9,134,5,7,92
media/java/android/media/tv/tuner/filter/DownloadEvent.java,2,5,99,2,3,7
services/core/java/com/android/server/EntropyMixer.java,3,4,76,3,3,25
core/java/android/app/admin/DevicePolicyCache.java,4,5,99,4,5,96
services/tests/uiservicestests/src/com/android/server/notification/RankingHelperTest.java,10,22,2178,8,8,117
packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/PropertyAnimatorTest.java,4,5,26,4,4,16
core/tests/coretests/src/android/os/BundleTest.java,3,4,336,2,3,332
tools/processors/view_inspector/src/java/android/processor/view/inspector/InspectionCompanionGenerator.java,2,10,1088,5,9,1061
core/java/android/text/method/KeyListener.java,4,9,267,1,1,6
core/java/android/window/WindowTokenClient.java,1,2,21,4,4,51
services/core/java/com/android/server/broadcastradio/hal2/BroadcastRadioService.java,2,10,338,7,10,440
core/java/android/widget/RadioGroup.java,22,49,1734,19,28,231
packages/BackupEncryption/src/com/android/server/backup/encryption/chunking/BackupFileBuilder.java,2,2,238,2,2,238
core/java/android/app/backup/BackupManager.java,23,68,1709,29,46,1152
packages/SystemUI/src/com/android/systemui/people/widget/PeopleBackupHelper.java,1,1,508,1,1,508
services/core/java/com/android/server/timezonedetector/location/RealProviderMetricsLogger.java,1,2,81,1,2,81
core/tests/hosttests/test-apps/MultiDexLegacyAndException/src/com/android/multidexlegacyandexception/ClassInSecondaryDex.java,1,1,84,0,0,0
services/tests/servicestests/src/com/android/server/locksettings/recoverablekeystore/certificate/TestData.java,2,3,313,1,1,307
core/java/android/os/ThreadLocalWorkSource.java,1,1,55,0,0,0
packages/SettingsLib/tests/robotests/src/com/android/settingslib/deviceinfo/BluetoothAddressPreferenceControllerTest.java,4,9,131,3,3,113
core/java/android/content/res/AssetFileDescriptor.java,10,21,1441,7,10,103
services/core/java/com/android/server/am/NativeCrashListener.java,6,7,64,3,4,29
core/tests/coretests/src/android/app/timedetector/NetworkTimeSuggestionTest.java,1,3,70,2,3,70
core/java/com/android/server/LocalServices.java,1,1,12,0,0,0
core/java/android/content/ActivityNotFoundException.java,1,3,105,0,0,0
tests/HwAccelerationTest/src/com/android/test/hwui/PointsActivity.java,1,1,128,0,0,0
packages/WallpaperCropper/src/com/android/gallery3d/util/IntArray.java,1,1,60,1,1,60
services/core/java/com/android/server/pm/permission/OneTimePermissionUserManager.java,1,4,422,3,3,411
